代码,名称,实际控制人,控制人类型,控制人简介,证监会行业,Wind行业
000519.SZ,中兵红箭,国务院国有资产监督管理委员会,国资委,,CSRC非金属矿物制品业,Wind材料Ⅱ
000520.SZ,长航凤凰,陈德顺,个人,"陈德顺,男,中国国籍,无其他国家或地区的居留权,身份证号码64010319630817****",CSRC水上运输业,Wind运输
000521.SZ,美菱电器,绵阳市国有资产监督管理委员会,地方国资委,"受同级政府委托,统一行使国有资产所有者职能的决策和管理,对所属国有资产实行综合管理和监督的机构.",CSRC电气机械及器材制造业,Wind耐用消费品与服装
000523.SZ,广州浪奇,广州市人民政府国有资产监督管理委员会,地方国资委,,CSRC化学原料及化学制品制造业,Wind家庭与个人用品
000524.SZ,岭南控股,广州市人民政府国有资产监督管理委员会,地方国资委,,CSRC住宿业,Wind消费者服务Ⅱ
000525.SZ,红太阳,杨寿海,个人,"杨寿海,男,1957年4月出生,中共党员,硕士研究生学历,高级经济师,曾任高淳县农业局综合管理干部,办公室主任,副局长,南京第一农药厂厂长;现任红太阳集团有限公司董事长兼总裁,南京红太阳股份有限公司董事长,兼任中欧化工制造商协会,中国农业技术推广协会,中国农药工业协会,中国农药应用与发展协会等行业协会副会长和南京市科协副主席等社会职务,享受国务院特殊津贴;先后荣获“全国星火先进工作者”,“全国优秀农业科技工作者”,“中国农村唯一新闻人物”,“全国优秀企业家”,“中国工业行业十大杰出人物”,“全国石油和化工环保先进个人”,“‘十一五’中国石油和化工优秀民营企业家杰出贡献奖”,“江苏省劳动模范”,“江苏省优秀共产党员”,“江苏省优秀民营企业家”,“江苏省农村青年科技兴农带头人”,“南京市光彩事业之星”等多项荣誉称号.",CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000526.SZ,*ST紫学,教育部,中央国家机关,,CSRC教育,Wind消费者服务Ⅱ
000528.SZ,柳工,广西壮族自治区国有资产监督管理委员会,地方国资委,,CSRC专用设备制造业,Wind资本货物
000529.SZ,广弘控股,广东省国有资产监督管理委员会,地方国资委,"广东省国有资产监督管理委员会,法定代表人:吕业升,主要经营业务:作为广东省人民政府的直属特设机构,受省政府委托履行省国有资产出资人职责,对监管企业实行""权利,义务和责任相统一,管资产和管人,管事相结合"".",CSRC农副食品加工业,Wind食品、饮料与烟草
000531.SZ,穗恒运A,广州开发区管理委员会,地方政府,,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000532.SZ,华金资本,珠海市人民政府国有资产监督管理委员会,地方国资委,"法定代表人:吴爱存,成立日期:2004年11月30日,组织机构代码:71924557-8",CSRC综合,Wind技术硬件与设备
000534.SZ,万泽股份,林伟光,个人,林伟光，北京大学EMBA，药剂师职称；现任万泽集团有限公司董事长、万泽实业股份有限公司董事长，深圳市总商会副会长。,CSRC房地产业,Wind房地产Ⅱ
000536.SZ,华映科技,大同股份有限公司,境外,大同股份有限公司，法定代表人/单位负责人林蔚山，成立日期：1950年04月11日，主要经营业务：一、下列各项产品设计、制造、买卖、承装、网络系统、自动化系统、租赁、维修服务及进出口销售代理：1.制钢机械类2.重电机器类3.家电机器类4.冷冻机器类5.空调机器类6.金属加工机器类7.电子工业类8.电线电缆类9.化学工业类10.厨房用具类11.木材制品类12.塑料工业类13.事务用品类14.音乐器材类15.度量衡器类16.输送器材类17.交通器材类18.医药用品用具类19.微生物酦酵产品类20.建筑事业类21.家具类22.太阳能工业类23.水处理工程工业类24.通信器材类25.停车场设备类26.汽车类27.半导体事业类28.不动产开发及租赁业类。二、杂志出版印刷业。三、报关业。四、一般进出口贸易业务(许可业务除外)。五、受政府工业主管单位委托办理工业区之开发、租售(营造业除外)。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000537.SZ,广宇发展,国务院国有资产监督管理委员会,国资委,,CSRC房地产业,Wind房地产Ⅱ
000538.SZ,云南白药,云南省国有资产监督管理委员会,地方国资委,"云南省人民政府国有资产监督管理委员会是本公司的实际控制人.云南省人民政府国有资产监督管理委员会是云南省人民政府监督管理云南省国有资产的部门,持有云南白药控股有限公司50%的股份,云南白药控股有限公司持有云南白药集团股份有限公司41.52%的股份.",CSRC医药制造业,Wind制药、生物科技与生命科学
000539.SZ,粤电力A,广东省人民政府国有资产监督管理委员会,地方国资委,,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000540.SZ,中天金融,罗玉平,个人,"罗玉平,男,出生于1966年5月,中国国籍,现任收购人董事长.罗先生1988年开始从事工程承建工作;1992年进入房地产开发行业,具有卓越的经营管理能力和多年的房地产开发经验.",CSRC房地产业,Wind房地产Ⅱ
000541.SZ,佛山照明,广东省人民政府国有资产监督管理委员会,地方国资委,,CSRC电气机械及器材制造业,Wind耐用消费品与服装
000543.SZ,皖能电力,安徽省国有资产监督管理委员会,地方国资委,,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000544.SZ,中原环保,郑州市人民政府国有资产监督管理委员会,地方国资委,,CSRC水的生产和供应业,Wind公用事业Ⅱ
000545.SZ,金浦钛业,郭金林,个人,"国籍:中国,任金浦投资控股集团有限公司副董事长.",CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000545.SZ,金浦钛业,郭金东,个人,"郭金东先生,1965年出生,大学学历,高级经济师.现任金浦投资控股集团有限公司董事长.兼任南京金浦环球投资发展有限公司董事长,新疆金浦新材料有限公司董事长,南京金陵塑胶化工有限公司董事长,金浦新材料股份有限公司董事长,南京金浦东部房地产开发有限公司董事长,江苏钟山化工有限公司董事长,南京金浦房地产开发有限责任公司执行董事兼总经理,南京金浦小行房地产开发有限公司执行董事,江苏金浦集团国际贸易有限公司执行董事,南京金浦酒店管理有限公司执行董事,南京金三环实业有限责任公司执行董事,南京金龙甸生态农业科技发展有限公司执行董事,南京金浦锦湖化工有限公司董事,南京前瞻商贸管理有限责任公司监事.2013年5月起任公司董事长.",CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000546.SZ,金圆股份,赵辉,个人,"赵辉,男,大专学历,1974年生,中国籍,先后担任兰溪市西山纸袋包装厂厂长,浙江西山寺水泥厂厂长,浙江西山建材集团有限公司董事,副总经理,青海西威水泥有限公司董事长,浙江金圆水泥有限公司总经理,现任金圆控股集团有限公司执行董事,总裁.",CSRC非金属矿物制品业,Wind材料Ⅱ
000546.SZ,金圆股份,赵璧生,个人,"赵璧生,男,1945年生,中国籍,先后担任兰溪市西山寺村支部副书记,兰溪市第三水泥厂厂长,兰溪市西山实业有限公司总经理,浙江西山建材集团有限公司董事长,总经理,浙江金圆水泥有限公司董事长,现任金圆控股集团有限公司监事.",CSRC非金属矿物制品业,Wind材料Ⅱ
000547.SZ,航天发展,国务院国有资产监督管理委员会,国资委,,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000548.SZ,湖南投资,长沙市国有资产监督管理委员会,地方国资委,"长沙市国有资产监督管理委员会,法定代表人:胡政旗,成立日期:2005 年1 月14 日,主要经营业务:代表市政府作为国有资产的出资人,督促所出资企业实现国有资产保值增值,防止国有资产流失;担负全市国企改革和维稳重任,并承担完善国资监管各项规章制度,以及加快国资监管政策法规,产权管理,经营者业绩考核,统计评价四大体系建设等职能.",CSRC道路运输业,Wind运输
000550.SZ,江铃汽车,国务院国有资产监督管理委员会,国资委,,CSRC汽车制造业,Wind汽车与汽车零部件
000551.SZ,创元科技,苏州市人民政府,地方政府,,CSRC综合,Wind资本货物
000552.SZ,靖远煤电,甘肃省国有资产监督管理委员会,地方国资委,"甘肃省国有资产监督管理委员会,法定代表人/单位负责人李沛兴,成立日期2004年03月01日,组织机构代码73961098-2,主要经营业务:国有资产管理.",CSRC煤炭开采和洗选业,Wind能源Ⅱ
000553.SZ,沙隆达A,国务院国有资产监督管理委员会,国资委,实际控制人名称:国务院国有资产监督管理委员会.报告期内不存在控制其他境内外上市公司的股权情况.国务院国有资产监督管理委员会主要经营业务或管理活动:国有资产监督管理等,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
000554.SZ,泰山石油,国务院国有资产监督管理委员会,国资委,,CSRC批发业,Wind能源Ⅱ
000557.SZ,西部创业,宁夏回族自治区人民政府,地方政府,,CSRC铁路运输业,Wind食品、饮料与烟草
000558.SZ,莱茵体育,高继胜,个人,"男,董事长,1952年10月出生,本科学历,毕业于上海师范大学,现为浙江大学证券期货研究所兼职教授.1970年—1977年服役于上海武警总队,历任班长,技师;1977年—1989年在浙江萧山二轻系统工作,历任工会主席,副厂长,书记,供销公司经理,二轻工业局副局长,二轻总公司副总经理;1989年—1990年受浙江省政府派遣前往日本静冈县学习进修;1990年—1994年担任萧山市国营工业总公司总经理;1994年底创办莱茵达公司,现任浙江莱茵达投资有限公司董事长,总经理.",CSRC房地产业,Wind消费者服务Ⅱ
000559.SZ,万向钱潮,鲁冠球,个人,"鲁冠球先生简历:男,1945 年1 月生,浙江杭州人,中共党员,万向创始人,香港理工大学荣誉博士,高级经济师,现任万向集团董事局主席,公司第六届董事会董事长,获中国优秀企业家,全国劳动模范,乡镇企业十大功勋,中华十大杰出职工,国际杰出企业家,袁宝华企业管理金奖等荣誉,为中国乡镇企业协会会长,中国企业联合会执行副会长,是十三大,十四大党代表,九届,十届,十一届全国人大代表.",CSRC汽车制造业,Wind汽车与汽车零部件
000560.SZ,昆百大A,谢勇,个人,姓名：谢勇，曾用名：无，性别：男，国籍：中华人民共和国，身份证号：3326221972********，住所：上海市浦东新区丁香路***弄，通讯地址：昆明市东风西路1号昆明百货大楼（集团）股份有限公司C座12层，通讯方式：0871－65626688，永久居留权：拥有新西兰永久居留权,CSRC零售业,Wind零售业
000561.SZ,烽火电子,陕西省人民政府国有资产监督管理委员会,地方国资委,"陕西省人民政府国有资产监督管理委员会,法定代表人:刘阳,组织机构代码:71978336-8,主要经营业务:国有资产管理等",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000563.SZ,陕国投A,陕西省人民政府国有资产监督管理委员会,地方国资委,法定代表人/单位负责人：刘阳。成立日期：2004年6月22日，组织机构代码：71978336-8.,CSRC其他金融业,Wind多元金融
000564.SZ,供销大集,海南省慈航公益基金会,其他,"组织机构代码:组织机构代码：56240687-0,主要经营业务:接受社会各界捐赠；赈灾救助；救贫济困；慈善救助；公益援助；组织热心支持和参与慈善事业的志愿者队伍，开展多种形式的慈善活动。",CSRC零售业,Wind零售业
